session_id,timestamp,user_id,original_language,target_language,speech_duration_sec,speech_speed_wpm,audio_clarity,visual_scene_type,lighting_condition,object_detected,translated_text_length_words,translation_accuracy_percent
45,2025-05-13 06:05:03,3696,Arabic,Igbo,13.01,143.35,Clear,Outdoor,Bright,Person,15,92.66
46,2025-03-22 01:52:54,6364,Arabic,Igbo,16.17,95.07,Moderate,Street,Bright,None,10,87.83
47,2025-04-10 12:48:30,4456,Hausa,Yoruba,17.31,112.6,Clear,Indoor,Artificial,Text,40,60.66
48,2025-02-13 06:30:48,4329,Hausa,Arabic,10.73,102.65,Noisy,Street,Artificial,Text,36,63.85
49,2025-03-31 09:23:39,8016,English,Igbo,18.87,119.76,Clear,Market,Bright,None,43,97.47
50,2025-06-13 13:07:52,4785,Yoruba,Hausa,3.61,114.11,Clear,Street,Artificial,Obstacle,29,68.36
51,2025-01-31 03:45:47,7879,French,Hausa,11.29,149.58,Moderate,Market,Natural,Obstacle,11,86.4
52,2025-03-03 04:34:31,4298,Hausa,English,16.53,135.52,Moderate,Office,Natural,None,6,99.85
53,2025-06-20 23:54:54,8379,French,Hausa,19.34,135.83,Noisy,Market,Artificial,Person,36,85.32
54,2025-06-11 02:19:06,9760,English,Yoruba,7.44,114.92,Clear,Indoor,Artificial,Sign,20,95.88
55,2025-03-04 13:35:40,2959,Igbo,Yoruba,17.85,157.99,Clear,Indoor,Dim,Sign,28,94.04
56,2025-01-12 16:14:49,4357,Hausa,Yoruba,18.78,158.53,Moderate,Outdoor,Natural,Obstacle,44,84.26
57,2025-02-16 05:26:19,2840,Arabic,Yoruba,1.17,90.15,Moderate,Street,Natural,Sign,39,98.95
58,2025-04-11 18:46:55,6613,English,Arabic,6.39,110.54,Noisy,Office,Dim,Text,6,87.68
59,2025-06-16 17:18:28,5072,Hausa,Arabic,13.39,102.43,Clear,Office,Natural,Sign,37,60.72
60,2025-01-22 04:49:04,8176,English,French,10.38,97.88,Clear,Market,Artificial,Sign,12,93.97
61,2025-01-21 09:00:09,5818,Igbo,Yoruba,13.49,136.83,Noisy,Office,Artificial,Sign,16,80.35
62,2025-03-02 15:48:26,5892,French,Yoruba,13.09,105.05,Clear,Indoor,Dim,None,34,98.92
63,2025-03-31 05:08:11,5968,Igbo,Arabic,8.47,169.2,Noisy,Outdoor,Natural,Person,31,77.38
64,2025-02-13 04:03:59,5215,Arabic,Igbo,7.65,144.51,Clear,Market,Dim,None,37,67.81
65,2025-04-07 06:25:35,5308,Hausa,Arabic,14.73,108.08,Moderate,Classroom,Natural,Text,39,90.74
66,2025-03-17 20:49:55,9424,French,Arabic,1.83,179.46,Noisy,Street,Artificial,Sign,34,98.16
67,2025-03-20 05:37:35,3653,Yoruba,English,18.38,117.02,Moderate,Classroom,Natural,Text,45,98.12
68,2025-01-25 14:32:38,1994,Arabic,Yoruba,7.28,135.28,Noisy,Market,Natural,Text,35,98.54
69,2025-05-28 14:21:10,3231,Hausa,French,17.21,109.44,Moderate,Street,Bright,None,25,67.64
70,2025-02-08 15:54:45,8489,English,Arabic,6.1,128.53,Moderate,Office,Artificial,Person,22,82.27
71,2025-06-05 14:33:44,9222,Arabic,Hausa,18.79,149.6,Clear,Indoor,Dim,Sign,44,62.82
72,2025-05-08 17:25:42,5153,Yoruba,Igbo,4.97,147.11,Clear,Street,Dim,None,27,65.6
73,2025-05-19 05:52:24,2725,Arabic,Igbo,10.85,167.74,Noisy,Street,Artificial,Obstacle,21,93.95
74,2025-03-29 18:25:44,6488,Arabic,French,3.6,150.89,Clear,Classroom,Artificial,Sign,43,71.74
75,2025-03-08 10:53:45,3547,Hausa,Arabic,16.38,161.01,Clear,Office,Artificial,Text,29,84.46
76,2025-03-10 20:50:00,4986,Yoruba,Igbo,2.55,80.52,Moderate,Office,Bright,Sign,40,91.93
77,2025-04-09 18:08:17,8976,English,Igbo,13.35,150.2,Moderate,Indoor,Bright,Sign,20,62.03
78,2025-06-03 23:12:33,1175,Hausa,Yoruba,17.85,82.76,Moderate,Outdoor,Natural,Text,38,63.76
79,2025-06-17 20:52:26,5733,Igbo,Yoruba,11.99,83.59,Moderate,Classroom,Dim,Person,29,66.2
80,2025-03-19 11:58:35,7700,French,Arabic,19.65,163.89,Noisy,Street,Artificial,Obstacle,26,70.01
81,2025-02-19 14:19:54,2152,Arabic,Hausa,1.74,110.33,Noisy,Classroom,Natural,Obstacle,47,65.08
82,2025-05-21 23:34:39,8344,French,Yoruba,10.92,157.0,Noisy,Classroom,Natural,Person,48,98.61
83,2025-02-15 04:49:41,9268,Arabic,English,9.69,164.2,Clear,Indoor,Artificial,Sign,36,81.25
84,2025-03-22 20:04:34,9093,English,Arabic,11.27,143.74,Clear,Outdoor,Artificial,None,20,99.03
85,2025-01-15 14:21:26,7504,English,Arabic,10.81,112.3,Noisy,Indoor,Dim,Obstacle,21,75.95
86,2025-05-02 08:42:50,1097,Yoruba,Arabic,9.24,154.4,Noisy,Indoor,Bright,Person,30,61.01
87,2025-02-19 11:48:18,5725,Yoruba,Hausa,19.29,163.6,Moderate,Office,Natural,Person,13,87.54
88,2025-05-16 00:14:11,7017,English,French,2.11,171.52,Noisy,Office,Natural,Text,38,69.59
89,2025-03-29 06:38:08,2461,Igbo,English,2.78,98.29,Noisy,Street,Artificial,Text,49,71.2
90,2025-01-28 15:38:03,2962,Hausa,Igbo,19.14,153.79,Moderate,Classroom,Artificial,Obstacle,9,84.47
91,2025-02-08 23:39:12,9296,French,Yoruba,8.97,104.77,Noisy,Indoor,Artificial,Person,20,66.35
92,2025-03-23 19:33:55,4165,Arabic,French,3.28,114.19,Moderate,Street,Artificial,None,32,61.84
93,2025-03-21 09:17:42,3983,Igbo,Hausa,1.77,165.55,Clear,Market,Artificial,Sign,9,78.97
94,2025-01-25 07:44:29,4409,French,Arabic,2.86,129.16,Moderate,Outdoor,Natural,None,43,73.85
95,2025-05-14 11:46:54,8619,English,French,9.83,144.98,Moderate,Market,Dim,Obstacle,14,97.97
96,2025-05-25 21:45:59,2482,English,Hausa,17.85,106.09,Moderate,Office,Dim,Sign,14,85.03
97,2025-04-11 04:03:15,2985,Arabic,Hausa,10.56,165.65,Clear,Outdoor,Artificial,Sign,9,87.36
98,2025-04-26 06:21:00,9126,Yoruba,French,12.7,174.39,Noisy,Classroom,Natural,None,6,61.06
99,2025-06-25 07:00:28,6729,Arabic,English,12.13,174.02,Clear,Office,Artificial,Person,28,87.09
100,2025-03-28 21:25:31,5205,French,Hausa,11.89,92.85,Noisy,Market,Natural,Obstacle,47,97.66
101,2025-01-18 23:35:36,8121,French,Hausa,8.34,176.12,Clear,Market,Dim,Person,14,68.27
102,2025-05-16 04:33:27,6043,Igbo,Yoruba,6.21,101.46,Moderate,Market,Dim,None,6,61.56
103,2025-04-15 13:11:18,2421,English,Igbo,12.75,113.66,Moderate,Street,Dim,Obstacle,30,72.76
104,2025-03-04 02:10:52,8752,Yoruba,Arabic,17.05,82.33,Moderate,Outdoor,Dim,Person,38,70.43
105,2025-02-15 07:15:55,9360,English,Yoruba,10.42,149.29,Moderate,Indoor,Natural,Sign,49,97.47
106,2025-01-15 13:43:28,2247,Arabic,Hausa,1.74,121.79,Clear,Classroom,Artificial,Person,40,67.1
107,2025-05-29 08:55:24,5202,English,Arabic,15.26,160.68,Clear,Outdoor,Bright,Obstacle,39,76.5
108,2025-03-15 17:20:12,3898,Yoruba,Arabic,8.07,157.64,Noisy,Street,Artificial,Text,28,94.68
109,2025-02-19 02:05:31,6445,Yoruba,Hausa,11.68,103.86,Clear,Market,Artificial,Obstacle,17,89.6
110,2025-05-18 18:26:54,9948,Igbo,Yoruba,5.53,117.77,Noisy,Outdoor,Natural,None,24,93.06
111,2025-01-13 04:18:53,9053,Igbo,Arabic,7.08,169.55,Clear,Market,Dim,Sign,40,60.43
112,2025-04-30 01:34:52,5989,English,Arabic,18.2,89.13,Clear,Outdoor,Natural,None,11,98.27
113,2025-06-02 20:42:11,6479,Igbo,French,13.86,128.25,Clear,Market,Bright,Person,20,77.94
114,2025-02-22 20:56:21,7108,Hausa,Arabic,6.57,112.87,Noisy,Classroom,Bright,Text,25,90.09
115,2025-02-27 02:19:52,5016,Arabic,Hausa,16.04,158.96,Noisy,Outdoor,Artificial,Obstacle,49,97.24
116,2025-06-18 20:16:41,9488,English,Hausa,19.51,179.59,Noisy,Market,Natural,Person,9,89.48
117,2025-03-21 00:59:20,5189,Arabic,French,11.37,150.58,Noisy,Street,Artificial,Person,16,87.52
118,2025-05-16 23:54:31,7079,Yoruba,English,16.9,166.69,Moderate,Street,Natural,Sign,42,63.36
119,2025-04-09 12:23:09,9680,Igbo,English,14.32,87.28,Moderate,Street,Bright,None,31,88.25
120,2025-06-11 07:31:07,8855,English,Igbo,2.55,88.48,Noisy,Outdoor,Dim,None,23,83.25
121,2025-05-12 07:50:59,1020,Arabic,Yoruba,17.4,168.04,Noisy,Classroom,Bright,Text,21,97.89
122,2025-05-29 18:10:46,1579,Hausa,French,19.73,155.34,Clear,Market,Bright,None,10,88.33
123,2025-04-14 21:04:07,7073,Arabic,French,10.15,117.8,Noisy,Office,Dim,Text,43,76.97
124,2025-04-10 00:49:09,3390,French,Hausa,18.22,91.12,Noisy,Office,Bright,None,7,70.15
125,2025-01-07 11:55:07,2283,Igbo,Hausa,8.7,137.15,Clear,Classroom,Natural,None,24,64.75
126,2025-01-27 13:06:37,8795,Yoruba,Arabic,3.23,144.92,Clear,Outdoor,Bright,Sign,5,87.24
127,2025-04-24 02:02:05,6860,Igbo,Arabic,5.51,120.02,Moderate,Outdoor,Dim,Obstacle,29,94.74
128,2025-02-15 02:18:50,9151,Arabic,Yoruba,5.25,176.32,Noisy,Indoor,Dim,Sign,48,99.12
129,2025-01-31 02:44:07,1754,French,Hausa,11.56,112.27,Noisy,Classroom,Bright,None,20,81.11
130,2025-06-03 22:32:37,8157,English,Arabic,19.87,87.38,Clear,Indoor,Dim,Text,39,87.82
131,2025-02-05 10:56:08,7909,Igbo,English,2.43,96.62,Noisy,Street,Artificial,Obstacle,18,71.78
132,2025-05-08 09:17:09,6093,Arabic,Igbo,19.92,149.69,Noisy,Outdoor,Dim,Text,7,96.05
133,2025-01-01 02:30:14,7518,Yoruba,Hausa,1.86,108.1,Clear,Outdoor,Natural,Text,36,62.31
134,2025-06-16 12:40:59,6447,Yoruba,Hausa,8.5,90.68,Clear,Market,Bright,Person,12,66.79
135,2025-01-16 08:11:46,8575,Hausa,French,13.29,118.83,Moderate,Classroom,Bright,Sign,32,63.11
136,2025-01-08 06:14:14,4337,Hausa,French,19.51,178.62,Moderate,Market,Artificial,Person,21,71.19
137,2025-06-21 05:19:54,7615,French,Yoruba,8.81,140.28,Noisy,Office,Artificial,Obstacle,33,65.33
138,2025-03-31 01:25:22,5496,French,Arabic,2.45,174.05,Noisy,Office,Dim,Obstacle,9,84.54
139,2025-03-29 06:46:12,8377,Igbo,French,8.95,173.27,Moderate,Classroom,Artificial,Person,49,66.59
140,2025-02-05 06:48:29,5928,Hausa,Igbo,8.81,157.76,Moderate,Street,Natural,None,22,99.49
141,2025-02-07 02:02:53,8430,English,Hausa,3.86,139.41,Noisy,Market,Dim,Person,29,98.8
142,2025-06-12 16:29:44,2019,French,English,17.0,163.83,Noisy,Outdoor,Artificial,Obstacle,38,61.47
143,2025-05-24 05:21:23,4807,Hausa,English,3.54,81.37,Noisy,Indoor,Dim,Person,10,87.67
144,2025-04-02 18:53:46,1996,Yoruba,Hausa,11.15,154.99,Noisy,Street,Natural,None,7,82.22
145,2025-05-25 20:59:53,9009,Arabic,French,15.61,174.48,Noisy,Outdoor,Dim,Person,14,75.11
146,2025-01-03 04:48:59,4565,Arabic,Hausa,5.58,100.5,Moderate,Street,Dim,Obstacle,5,98.16
147,2025-06-09 07:40:27,5691,English,Igbo,12.52,102.86,Moderate,Indoor,Natural,Obstacle,44,84.73
148,2025-01-04 10:18:51,4822,French,Igbo,7.81,91.36,Clear,Market,Artificial,Person,30,79.93
149,2025-05-07 18:05:05,1708,French,Yoruba,10.05,163.14,Noisy,Classroom,Natural,Text,16,92.66
150,2025-04-28 17:36:29,8612,Yoruba,Arabic,19.39,88.84,Moderate,Office,Artificial,Obstacle,21,65.36
151,2025-03-09 00:50:48,6246,Hausa,French,1.55,155.51,Clear,Classroom,Dim,Obstacle,25,85.57
152,2025-02-22 02:29:00,6236,English,Yoruba,16.3,170.32,Noisy,Street,Dim,Person,38,74.02
153,2025-02-14 03:21:44,7731,English,Yoruba,12.21,119.22,Moderate,Indoor,Bright,None,31,63.64
154,2025-01-16 01:27:04,1596,Arabic,Yoruba,14.8,134.74,Noisy,Office,Bright,None,37,91.35
155,2025-03-20 01:07:32,3778,French,Igbo,8.53,142.21,Noisy,Market,Dim,Sign,21,97.98
156,2025-03-01 17:56:16,6334,English,French,3.79,172.66,Clear,Classroom,Dim,None,14,90.76
157,2025-04-09 07:40:23,7057,Igbo,Arabic,2.26,84.59,Moderate,Street,Bright,None,10,79.7
158,2025-06-27 21:43:24,3011,English,Yoruba,7.25,143.34,Noisy,Market,Artificial,Text,15,63.03
159,2025-05-23 19:32:38,8405,Yoruba,Hausa,3.45,92.8,Clear,Classroom,Bright,Text,35,76.01
160,2025-03-15 03:48:49,1173,Arabic,English,14.26,98.01,Clear,Office,Artificial,Person,8,73.83
161,2025-06-04 10:42:46,4618,Yoruba,English,18.04,127.4,Moderate,Indoor,Natural,Sign,33,98.92
162,2025-03-20 01:56:47,5038,Yoruba,Hausa,12.44,102.38,Clear,Classroom,Dim,Sign,25,66.76
163,2025-05-10 09:01:16,2412,Hausa,Yoruba,6.29,97.7,Noisy,Office,Natural,Obstacle,25,81.95
164,2025-04-25 15:36:43,4029,French,Yoruba,11.15,115.6,Clear,Outdoor,Dim,Person,38,65.15
165,2025-03-21 16:19:43,2332,Yoruba,Arabic,7.27,112.16,Clear,Indoor,Bright,Sign,30,91.98
166,2025-06-29 18:47:54,5320,Igbo,Hausa,12.93,88.18,Clear,Indoor,Natural,None,34,66.28
167,2025-04-12 17:15:11,9649,French,Igbo,8.17,80.26,Moderate,Street,Bright,Sign,40,92.25
168,2025-04-19 21:08:55,6669,English,Arabic,15.22,98.45,Noisy,Indoor,Natural,Text,19,81.46
169,2025-04-25 06:31:20,4575,Yoruba,Arabic,18.56,103.61,Noisy,Classroom,Bright,Text,32,74.76
170,2025-01-15 12:28:43,7769,Arabic,Hausa,9.79,154.75,Noisy,Indoor,Natural,Person,18,65.91
171,2025-03-12 21:14:07,6152,French,Hausa,3.53,148.72,Noisy,Market,Artificial,None,27,80.47
172,2025-01-27 01:06:43,2176,French,Hausa,11.11,90.72,Clear,Market,Dim,None,42,81.3
173,2025-02-18 06:16:38,7679,Yoruba,French,5.61,106.92,Moderate,Market,Dim,Person,41,67.29
174,2025-04-15 04:47:46,4379,French,English,11.72,164.07,Moderate,Classroom,Bright,Sign,26,73.1
175,2025-06-12 20:38:06,4838,English,Igbo,3.28,169.05,Noisy,Market,Artificial,Text,24,78.96
176,2025-06-07 07:57:53,2273,English,Hausa,7.75,144.88,Moderate,Classroom,Artificial,Sign,22,63.48
177,2025-01-12 16:52:53,1549,Igbo,Arabic,11.21,138.68,Noisy,Street,Dim,Text,12,83.46
178,2025-04-01 05:23:41,5936,Hausa,French,11.72,117.88,Clear,Classroom,Bright,Text,41,74.52
179,2025-06-09 16:41:21,5695,Arabic,Igbo,13.27,137.08,Noisy,Office,Dim,Sign,49,73.21
180,2025-04-14 16:49:01,1163,Igbo,Arabic,18.74,80.75,Noisy,Office,Bright,Obstacle,25,66.11
181,2025-05-02 22:37:27,3366,Arabic,Hausa,5.67,96.07,Moderate,Indoor,Dim,Person,15,63.52
182,2025-04-07 08:32:41,3130,Hausa,English,16.31,85.57,Moderate,Outdoor,Bright,Person,13,63.21
183,2025-05-12 04:57:12,6778,Arabic,Igbo,10.97,121.04,Moderate,Classroom,Bright,Person,40,99.89
184,2025-05-31 11:57:38,8293,English,Yoruba,18.04,137.6,Moderate,Indoor,Bright,Sign,15,94.62
185,2025-02-10 06:19:10,1616,Hausa,French,16.52,105.79,Clear,Market,Dim,Sign,42,86.75
186,2025-05-16 08:32:23,9107,English,Yoruba,18.66,135.68,Clear,Classroom,Dim,Person,12,79.06
187,2025-06-09 10:56:56,9289,Hausa,English,16.93,100.51,Clear,Street,Artificial,None,30,72.95
188,2025-01-14 14:43:04,9189,Igbo,French,9.08,130.76,Clear,Office,Bright,Sign,16,64.59
189,2025-02-13 00:16:13,5169,Arabic,French,12.6,108.86,Moderate,Indoor,Bright,Sign,41,80.24
190,2025-05-11 18:11:26,1699,Arabic,Yoruba,18.71,112.06,Moderate,Market,Natural,Sign,7,62.07
191,2025-06-17 07:55:20,1503,French,Hausa,7.4,93.44,Moderate,Office,Artificial,Text,27,81.96
192,2025-05-19 12:19:04,2292,English,Igbo,4.83,148.46,Noisy,Office,Dim,Sign,24,70.19
193,2025-02-28 23:32:19,7975,Hausa,French,13.95,156.02,Noisy,Street,Dim,Obstacle,15,78.93
194,2025-03-24 10:34:40,9871,Hausa,French,12.52,159.43,Noisy,Market,Artificial,Text,35,97.18
195,2025-02-26 13:39:10,1550,English,Yoruba,16.78,176.5,Noisy,Classroom,Natural,Text,18,97.32
196,2025-04-26 20:05:24,5419,Arabic,Igbo,19.83,100.5,Noisy,Classroom,Artificial,Sign,39,62.66
197,2025-02-17 04:35:12,6566,Arabic,Hausa,15.08,137.45,Clear,Office,Dim,Obstacle,33,65.59
198,2025-01-08 04:14:38,9467,Yoruba,Hausa,16.11,100.16,Noisy,Outdoor,Artificial,Person,34,93.01
199,2025-04-12 06:12:40,6823,Igbo,Yoruba,4.54,103.57,Noisy,Market,Dim,Obstacle,18,80.92
200,2025-03-04 03:42:07,2401,English,Arabic,7.82,167.72,Clear,Street,Artificial,Person,29,87.32
201,2025-04-24 04:40:43,8098,French,Hausa,9.59,151.38,Moderate,Market,Artificial,None,36,78.51
202,2025-01-06 03:43:37,6752,Igbo,Yoruba,6.73,154.76,Moderate,Classroom,Natural,Sign,19,83.1
203,2025-04-26 21:51:12,5032,Yoruba,Igbo,7.75,119.15,Clear,Market,Dim,Person,6,81.74
204,2025-01-06 12:37:04,2919,English,French,18.22,142.42,Moderate,Office,Dim,Obstacle,10,97.59
205,2025-05-19 07:46:24,9365,French,English,12.93,113.49,Clear,Market,Artificial,Person,19,95.15
206,2025-03-06 01:47:39,4068,Yoruba,French,10.41,154.15,Clear,Office,Natural,None,31,91.54
207,2025-06-09 21:41:50,9955,Igbo,French,3.88,111.17,Noisy,Classroom,Dim,Sign,41,91.14
208,2025-05-31 01:12:53,6896,Yoruba,Igbo,3.72,100.45,Clear,Office,Natural,Text,6,90.5
209,2025-06-25 15:04:33,9977,English,Arabic,17.66,114.21,Moderate,Indoor,Dim,Text,42,81.46
210,2025-02-02 18:05:43,1909,Igbo,Yoruba,8.2,125.7,Moderate,Office,Dim,Person,19,91.89
211,2025-05-23 02:23:27,5439,Yoruba,Igbo,3.85,102.93,Clear,Office,Dim,Obstacle,16,90.88
212,2025-02-05 23:27:41,6465,Hausa,Igbo,1.23,139.84,Clear,Outdoor,Dim,Sign,40,81.71
213,2025-05-06 13:40:15,8845,French,English,5.78,114.57,Clear,Street,Natural,Person,15,98.36
214,2025-06-18 02:16:04,3222,Igbo,French,7.51,102.74,Noisy,Office,Dim,Obstacle,27,78.48
215,2025-01-12 07:14:28,4137,English,Yoruba,19.0,95.34,Noisy,Indoor,Natural,None,17,65.56
216,2025-02-02 02:49:40,4501,Igbo,English,2.92,105.6,Noisy,Classroom,Natural,Obstacle,44,94.88
217,2025-01-23 22:24:08,9023,Hausa,English,18.71,136.51,Moderate,Street,Artificial,Text,8,91.6
218,2025-06-28 08:24:22,9394,Hausa,Igbo,1.44,145.14,Moderate,Outdoor,Artificial,Obstacle,32,74.98
219,2025-03-03 15:52:35,3665,Yoruba,Igbo,2.31,87.73,Clear,Classroom,Natural,Text,18,97.37
220,2025-01-01 17:31:12,9235,French,Arabic,18.59,125.08,Noisy,Street,Dim,Obstacle,41,99.39
221,2025-02-08 07:24:09,1049,Arabic,French,16.94,92.47,Moderate,Office,Natural,Obstacle,5,94.8
222,2025-04-19 08:41:22,2261,Yoruba,French,10.86,139.13,Noisy,Indoor,Dim,Obstacle,25,75.17
223,2025-04-12 05:32:13,7810,Yoruba,Arabic,15.14,100.56,Clear,Outdoor,Artificial,Text,30,73.34
224,2025-02-26 00:42:04,7275,Arabic,Hausa,8.57,133.74,Clear,Indoor,Dim,None,15,96.92
225,2025-05-23 21:42:30,7553,Igbo,Arabic,9.85,128.08,Moderate,Indoor,Artificial,Text,31,78.09
226,2025-04-04 02:49:55,8287,Yoruba,English,5.27,125.24,Noisy,Classroom,Artificial,Obstacle,28,83.11
227,2025-03-06 21:08:35,9763,Igbo,Yoruba,4.14,83.39,Noisy,Outdoor,Bright,None,37,74.5
228,2025-03-11 00:52:15,8367,Hausa,Yoruba,12.03,143.23,Clear,Classroom,Dim,Person,32,68.51
229,2025-02-16 05:04:48,5180,English,Hausa,10.79,177.55,Moderate,Market,Dim,Sign,45,65.95
230,2025-03-19 12:48:52,7248,Igbo,Arabic,8.88,88.53,Noisy,Outdoor,Bright,Sign,44,80.09
231,2025-02-11 16:34:03,3293,Hausa,Arabic,12.31,86.71,Clear,Indoor,Dim,Person,27,77.07
232,2025-04-24 18:28:24,6530,Hausa,French,16.2,114.94,Clear,Indoor,Natural,Text,34,67.63
233,2025-01-21 19:39:44,9983,French,Yoruba,1.69,127.21,Clear,Indoor,Artificial,Obstacle,44,83.5
234,2025-05-15 11:55:37,9488,French,Arabic,6.59,151.41,Moderate,Office,Natural,None,6,81.38
235,2025-01-17 04:36:21,3777,Arabic,French,10.14,129.7,Moderate,Outdoor,Natural,Text,8,67.28
236,2025-02-18 15:46:50,4381,English,Hausa,17.37,174.61,Noisy,Office,Natural,Obstacle,36,70.89
237,2025-01-10 21:41:12,4974,Igbo,English,18.05,132.66,Noisy,Street,Artificial,None,37,61.02
238,2025-06-03 21:33:07,8233,English,French,3.97,151.6,Moderate,Indoor,Natural,Obstacle,33,76.32
239,2025-04-22 16:55:07,3403,French,Hausa,11.48,105.39,Moderate,Outdoor,Natural,Sign,27,86.88
240,2025-02-07 17:32:11,9496,Yoruba,English,1.37,90.41,Clear,Outdoor,Natural,Person,41,67.14
241,2025-06-13 13:46:37,7275,French,Hausa,13.4,103.82,Noisy,Indoor,Natural,Text,38,92.21
242,2025-06-13 05:02:34,9568,English,Arabic,19.79,140.32,Moderate,Classroom,Artificial,Obstacle,47,98.51
